,Region,GP_2011,GP_2015,GP_2019
1,   United States ,80,84.1,86.5
2,Alabama ,75,87.1,90.6
3,Alaska ,70,76.1,79.1
4,Arizona ,76,79.5,77.3
5,Arkansas ,84,87,88.8
6,California ,79,83,84.3
7,Colorado ,75,78.9,81.9
8,Connecticut ,85,87.4,88.3
9,Delaware ,80,85.5,89
10,District of Columbia,59,69.2,73
11,Florida ,75,80.7,90.2
12,Georgia ,70,79.4,83.8
13,Hawaii,81,82.7,86.3
14,Idaho ,---,79.7,82.2
15,Illinois ,82,85.5,â€¡
16,Indiana ,86,86.8,90.9
17,Iowa ,89,91.3,91.8
18,Kansas ,85,85.7,88.2
19,Kentucky ,---,88.6,91.1
20,Louisiana,72,78.6,82.9
21,Maine ,85,87,87.4
22,Maryland ,84,87.6,86.8
23,Massachusetts ,85,87.5,89
24,Michigan ,76,79.7,82.1
25,Minnesota,78,82.2,83.8
26,Mississippi,75,82.3,87.7
27,Missouri ,84,89,89.5
28,Montana,84,85.6,85.9
29,Nebraska ,88,89.3,87.5
30,Nevada ,63,73.6,82.6
31,New Hampshire ,86,88.2,88.1
32,New Jersey ,86,90.1,91
33,New Mexico ,70,71,76.9
34,New York ,77,80.4,83.5
35,North Carolina ,80,85.9,87.6
36,North Dakota,87,87.5,89
37,Ohio ,81,83.5,84.4
38,Oklahoma,---,81.6,80.8
39,Oregon ,68,74.8,82.6
40,Pennsylvania ,84,86.1,87.4
41,Rhode Island ,77,82.8,83.6
42,South Carolina,75,82.6,82.2
43,South Dakota ,83,83.9,84.2
44,Tennessee ,87,88.5,90.4
45,Texas ,88,89.1,---
46,Utah ,80,85.2,88.2
47,Vermont,88,87.7,83.1
48,Virginia ,83,86.7,88.8
49,Washington ,77,79.7,83
50,West Virginia ,79,89.8,92.1
51,Wisconsin ,88,88.2,90.4
52,Wyoming,79,80,82.3
